Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,,,,,
Truck-15,Route-15,(1125.0 0.0 307.5),(675.0 0.0 300.0),24.85,0,13.797,,,,,,2배속
Truck-17,Route-17,(675.0 0.0 307.5),(675.0 0.0 600.0),38.766,0.009,27.718,,,,,,
Truck-3,Route-3,(225.0 0.0 592.5),(225.0 0.0 150.0),42.304,0,31.256,,,,,,
Truck-5,Route-5,(675.0 0.0 157.5),(1125.0 0.0 0.0),52.636,0,41.583,,,,,,
Truck-14,Route-14,(675.0 0.0 457.5),(1125.0 0.0 0.0),58.052,0,46.999,,,,,,
Truck-12,Route-12,(1125.0 0.0 457.5),(1125.0 0.0 150.0),66.518,0.01,55.466,,,,,,
Truck-7,Route-7,(675.0 0.0 307.5),(1125.0 0.0 600.0),71.603,14.899,45.686,,,,,,
Truck-18,Route-18,(225.0 0.0 157.5),(1125.0 0.0 150.0),77.004,0.009,65.96,,,,,,
Truck-8,Route-8,(1125.0 0.0 157.5),(1125.0 0.0 600.0),84.513,24.468,48.695,,,,,,
Truck-16,Route-16,(225.0 0.0 307.5),(1125.0 0.0 300.0),85.941,0,74.895,,,,,,
Truck-6,Route-6,(225.0 0.0 157.5),(1125.0 0.0 450.0),94.694,0,29.055,0.008,43.326,,,,
Truck-0,Route-0,(675.0 0.0 307.5),(675.0 0.0 450.0),105.414,13.454,45.496,0,24.398,,,,
Truck-9,Route-9,(1125.0 0.0 457.5),(1125.0 0.0 450.0),127.949,0,24.745,0,28.993,0,41.102,,
Truck-1,Route-1,(225.0 0.0 457.5),(1125.0 0.0 300.0),140.078,0,44.245,0.008,13.42,0,49.289,,
Truck-15,Route-15,(1125.0 0.0 307.5),(675.0 0.0 300.0),52.196,0,30.114,,,,,,1배속
Truck-17,Route-17,(675.0 0.0 307.5),(675.0 0.0 600.0),85.781,2.518,61.258,,,,,,
Truck-3,Route-3,(225.0 0.0 592.5),(225.0 0.0 150.0),90.834,0,68.753,,,,,,
Truck-5,Route-5,(675.0 0.0 157.5),(1125.0 0.0 0.0),123.122,0,101.037,,,,,,
Truck-14,Route-14,(675.0 0.0 457.5),(1125.0 0.0 0.0),132.958,0,110.876,,,,,,
Truck-12,Route-12,(1125.0 0.0 457.5),(1125.0 0.0 150.0),159.515,2.593,134.918,,,,,,
Truck-7,Route-7,(675.0 0.0 307.5),(1125.0 0.0 600.0),159.936,35.317,102.613,,,,,,
Truck-8,Route-8,(1125.0 0.0 157.5),(1125.0 0.0 600.0),182.285,49.796,110.475,,,,,,
Truck-18,Route-18,(225.0 0.0 157.5),(1125.0 0.0 150.0),182.677,2.593,158.078,,,,,,
Truck-16,Route-16,(225.0 0.0 307.5),(1125.0 0.0 300.0),207.058,0,184.976,,,,,,
Truck-6,Route-6,(225.0 0.0 157.5),(1125.0 0.0 450.0),207.295,0,67.895,0.013,95.298,,,,
Truck-0,Route-0,(675.0 0.0 307.5),(675.0 0.0 450.0),228.057,30.017,102.674,0.012,51.336,,,,
Truck-9,Route-9,(1125.0 0.0 457.5),(1125.0 0.0 450.0),264.554,0,52.935,0.014,61.318,0.014,84.177,,
Truck-1,Route-1,(225.0 0.0 457.5),(1125.0 0.0 300.0),335.218,0,106.636,0.01,33.62,0.006,128.837,,
