Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time,,,
Truck-9,Route-9,(675.0 0.0 150.0),(225.0 0.0 150.0),50.527,28.463,,,
Truck-13,Route-13,(1125.0 0.0 600.0),(1125.0 0.0 450.0),62.566,40.502,,,
Truck-14,Route-14,(675.0 0.0 150.0),(225.0 0.0 0.0),73.064,0,51.038,,
Truck-0,Route-0,(675.0 0.0 600.0),(675.0 0.0 0.0),108.785,86.719,,,
Truck-1,Route-1,(675.0 0.0 300.0),(225.0 0.0 600.0),112.241,28.759,61.472,,
Truck-6,Route-6,(225.0 0.0 600.0),(675.0 0.0 0.0),120.721,98.659,,,
Truck-17,Route-17,(1125.0 0.0 150.0),(1125.0 0.0 450.0),135.321,113.256,,,
Truck-12,Route-12,(675.0 0.0 300.0),(675.0 0.0 0.0),131.274,34.503,74.759,,
Truck-2,Route-2,(675.0 0.0 300.0),(1125.0 0.0 0.0),149.665,31.503,96.153,,
Truck-5,Route-5,(225.0 0.0 150.0),(1125.0 0.0 600.0),156.162,134.099,,,
Truck-7,Route-7,(1125.0 0.0 450.0),(225.0 0.0 0.0),167.822,145.757,,,
Truck-19,Route-19,(225.0 0.0 300.0),(675.0 0.0 450.0),169.929,147.863,,,
Truck-8,Route-8,(225.0 0.0 150.0),(225.0 0.0 600.0),220.442,0,122.799,4.995,48.614
Truck-15,Route-15,(225.0 0.0 600.0),(675.0 0.0 0.0),231.24,0,97.6,4.989,84.611
Truck-11,Route-11,(225.0 0.0 300.0),(1125.0 0.0 150.0),253.682,67.264,164.111,,
Truck-4,Route-4,(225.0 0.0 300.0),(225.0 0.0 150.0),366.598,67.959,189.795,4.997,59.824
Truck-10,Route-10,(675.0 0.0 0.0),(1125.0 0.0 0.0),52.476,30.418
Truck-9,Route-9,(675.0 0.0 150.0),(225.0 0.0 150.0),52.479,30.418
Truck-13,Route-13,(1125.0 0.0 600.0),(1125.0 0.0 450.0),65.617,43.557
